id,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,load_date
4,2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,2/01/2001
5,2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,2/01/2001
7,1,158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,2/01/2001
11,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,2/01/2001
13,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,2/01/2001
19,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151,2/01/2001
20,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,2/01/2001
21,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,2/01/2001
24,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,2/01/2001
25,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,2/01/2001
26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,2/01/2001
27,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,3/01/2001
28,1,148,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558,3/01/2001
30,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964,3/01/2001
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479,3/01/2001
